#,title,videoUrl,videoId,publishedAt,position
1,Won't Go - snuffles,https://www.youtube.com/watch?v=UG1HUOyL9IA&list=PLFBWgqupDy_uhWiihHzaJ8XLwfH_5JohX&index=1,UG1HUOyL9IA,2021-11-01T04:00:15Z,0
2,too late 2 - snuffles,https://www.youtube.com/watch?v=njowoGhmw6E&list=PLFBWgqupDy_uhWiihHzaJ8XLwfH_5JohX&index=2,njowoGhmw6E,2022-10-01T04:00:31Z,1
3,Ruelle - Bad Dream [Official Audio],https://www.youtube.com/watch?v=4NmX5vcNK6E&list=PLFBWgqupDy_uhWiihHzaJ8XLwfH_5JohX&index=3,4NmX5vcNK6E,2016-08-16T23:59:07Z,2
4,Keep on With It - snuffles,https://www.youtube.com/watch?v=kg3ed9NRQJo&list=PLFBWgqupDy_uhWiihHzaJ8XLwfH_5JohX&index=4,kg3ed9NRQJo,2021-11-01T00:55:59Z,3
5,i don't wanna - snuffles,https://www.youtube.com/watch?v=A02vT-I4Dds&list=PLFBWgqupDy_uhWiihHzaJ8XLwfH_5JohX&index=5,A02vT-I4Dds,2024-10-18T04:00:07Z,4
6,THIS THOUGHT - Frizk & snuffles,https://www.youtube.com/watch?v=tc8IhElRJkA&list=PLFBWgqupDy_uhWiihHzaJ8XLwfH_5JohX&index=6,tc8IhElRJkA,2024-08-01T04:00:41Z,5
7,David Kushner - Daylight (Official Music Video),https://www.youtube.com/watch?v=MoN9ql6Yymw&list=PLFBWgqupDy_uhWiihHzaJ8XLwfH_5JohX&index=7,MoN9ql6Yymw,2023-04-14T04:00:08Z,6
