#,title,videoUrl,videoId,publishedAt,position
30,too late - snuffles,https://www.youtube.com/watch?v=pEtcyFBysAg&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=30,pEtcyFBysAg,2022-01-06T01:01:43Z,29
31,NOTORIOUS,https://www.youtube.com/watch?v=Mvik9CTsNrA&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=31,Mvik9CTsNrA,2023-10-03T17:00:06Z,30
32,Seven Run - snuffles,https://www.youtube.com/watch?v=vTc0eldSVkA&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=32,vTc0eldSVkA,2022-06-01T04:00:30Z,31
33,RET TRO - Photo Frames (prod. ivycomb) [Official Lyric Video],https://www.youtube.com/watch?v=9a8TYHzdFjQ&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=33,9a8TYHzdFjQ,2022-01-28T07:15:10Z,32
34,RET TRO - Happy (prod. ivycomb),https://www.youtube.com/watch?v=9xcrvj-93Mc&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=34,9xcrvj-93Mc,2021-09-09T23:13:12Z,33
35,"Cosmic Critters Song - ""TOKYO"" by ivycomb [MRSHLMusic Remix]",https://www.youtube.com/watch?v=Y-UPgQOt874&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=35,Y-UPgQOt874,2022-11-06T05:00:10Z,34
36,DRIF-T,https://www.youtube.com/watch?v=c-FdhYA2Gzk&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=36,c-FdhYA2Gzk,2022-05-16T01:08:05Z,35
37,ivycomb - Death Valley (Official Audio),https://www.youtube.com/watch?v=7hZjuxooNjk&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=37,7hZjuxooNjk,2021-12-31T02:30:12Z,36
38,SPIDER BITES,https://www.youtube.com/watch?v=TNoKlL90cCo&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=38,TNoKlL90cCo,2023-11-30T18:00:07Z,37
39,SAHARA,https://www.youtube.com/watch?v=VQywoIhcNC8&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=39,VQywoIhcNC8,2024-02-23T18:00:08Z,38
40,Verplex - Green N Purple,https://www.youtube.com/watch?v=z1IdaICQ8OY&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=40,z1IdaICQ8OY,2022-05-07T21:21:14Z,39
41,Fishcracks - Start Again,https://www.youtube.com/watch?v=l5UDuAAoZrk&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=41,l5UDuAAoZrk,2022-10-21T21:00:10Z,40
42,"Cult of the Lamb Song - ""Fool's Gold"" by ivycomb",https://www.youtube.com/watch?v=r37UXmf4E3s&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=42,r37UXmf4E3s,2023-04-06T17:00:11Z,41
43,Verplex - Spark,https://www.youtube.com/watch?v=ThxrRKztpR8&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=43,ThxrRKztpR8,2023-10-22T18:04:11Z,42
44,"Cult of the Lamb Song - ""I Won't Submit"" by ivycomb",https://www.youtube.com/watch?v=kYELWX1fu18&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=44,kYELWX1fu18,2022-08-25T21:45:10Z,43
45,kennyoung & YonKaGor - Trash Talkin',https://www.youtube.com/watch?v=ncIEgkCN_VM&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=45,ncIEgkCN_VM,2023-04-25T14:30:07Z,44
46,Verplex - BetaEtaDelota,https://www.youtube.com/watch?v=X0xlwmmChss&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=46,X0xlwmmChss,2018-06-07T08:07:01Z,45
47,Polaroid,https://www.youtube.com/watch?v=WbNW7QRe3gg&list=PLFBWgqupDy_vQMudvuJUphRGPEPxWTl2D&index=47,WbNW7QRe3gg,2023-02-22T06:40:05Z,46
