#,title,videoUrl,videoId,publishedAt,position
28,|BONKERS|,https://www.youtube.com/watch?v=3giobIBEvOA&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=28,3giobIBEvOA,2022-08-11T21:09:26Z,27
29,Ark Patrol - Let Go (feat. Veronika Redd),https://www.youtube.com/watch?v=1kZCVdU1N6o&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=29,1kZCVdU1N6o,2015-04-13T18:30:01Z,28
30,"Welcome to the Internet - Bo Burnham (from ""Inside"" -- ALBUM OUT NOW)",https://www.youtube.com/watch?v=k1BneeJTDcU&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=30,k1BneeJTDcU,2021-06-04T15:00:32Z,29
31,Warriors (ft. Imagine Dragons) | Worlds 2014 - League of Legends,https://www.youtube.com/watch?v=fmI_Ndrxy14&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=31,fmI_Ndrxy14,2014-09-17T20:57:35Z,30
32,Five Nights at Freddy's 2 Song - The Living Tombstone (FNAF2),https://www.youtube.com/watch?v=gk-aCL6eyGc&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=32,gk-aCL6eyGc,2014-12-04T12:44:50Z,31
33,Alec Benjamin - Let Me Down Slowly [Official Music Video],https://www.youtube.com/watch?v=50VNCymT-Cs&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=33,50VNCymT-Cs,2018-06-04T19:00:23Z,32
34,VIDEOCLUB - Amour plastique (clip officiel),https://www.youtube.com/watch?v=5NjJLFI_oYs&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=34,5NjJLFI_oYs,2018-09-12T16:00:01Z,33
35,sapientdream - Pastlives (lyrics),https://www.youtube.com/watch?v=-TXtyYZIiWc&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=35,-TXtyYZIiWc,2020-03-04T15:26:03Z,34
36,Avicii - Waiting For Love,https://www.youtube.com/watch?v=cHHLHGNpCSA&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=36,cHHLHGNpCSA,2015-06-26T07:00:00Z,35
37,Aaron Smith - Dancin - Krono Remix (Official Video) ft. Luvli,https://www.youtube.com/watch?v=6Nb-prB-4P0&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=37,6Nb-prB-4P0,2014-11-03T08:00:02Z,36
38,UNSECRET X MØØNWATER - ONLY THE BEGINNING [OFFICIAL AUDIO],https://www.youtube.com/watch?v=ESpSAbbknIo&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=38,ESpSAbbknIo,2020-12-18T05:00:03Z,37
39,Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus,https://www.youtube.com/watch?v=r7qovpFAGrQ&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=39,r7qovpFAGrQ,2019-07-19T04:00:06Z,38
40,ElyOtto - SugarCrash! (Official Video),https://www.youtube.com/watch?v=6uaq8GJJxAQ&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=40,6uaq8GJJxAQ,2021-05-04T16:00:06Z,39
41,MGMT - Little Dark Age (Official Video),https://www.youtube.com/watch?v=rtL5oMyBHPs&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=41,rtL5oMyBHPs,2017-10-17T16:01:00Z,40
42,"фрози, joyful - bounce (i just wanna dance)",https://www.youtube.com/watch?v=UyLdI59lwyE&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=42,UyLdI59lwyE,2023-09-15T19:51:10Z,41
43,Kaan Simseker - Historial violin,https://www.youtube.com/watch?v=vbKVnu5KieU&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=43,vbKVnu5KieU,2021-12-18T07:00:13Z,42
44,Xff Drevm,https://www.youtube.com/watch?v=djoNoh8eF9Y&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=44,djoNoh8eF9Y,2023-07-27T10:02:17Z,43
45,Dark Whale,https://www.youtube.com/watch?v=Qq4YhtGjMtY&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=45,Qq4YhtGjMtY,2024-12-18T13:19:21Z,44
46,"¥$, Ye, Ty Dolla $ign - CARNIVAL ft. Playboi Carti & Rich The Kid",https://www.youtube.com/watch?v=pEskP0ulPlA&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=46,pEskP0ulPlA,2024-03-11T23:26:15Z,45
47,UNSECRET X NEONI - FALLOUT [OFFICIAL AUDIO],https://www.youtube.com/watch?v=K6438QUVbyA&list=PLFBWgqupDy_t0UDouX-4iDuR0MKdY9VNG&index=47,K6438QUVbyA,2019-07-12T04:00:05Z,46
